customer_id,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13,Node14,Node15,customer_type,Node17,Node18,Node19,Node20,target_control,outcome
1,Value4,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value4,Value4,Value2,Value3,Value2,Value3,Value3,persuadable,Value2,Value2,Value3,Value1,control,negative
2,Value2,Value1,Value1,Value2,Value3,Value4,Value2,Value2,Value4,Value3,Value1,Value2,Value3,Value1,Value1,sleeping_dog,Value3,Value3,Value1,Value4,control,positive
3,Value2,Value2,Value1,Value3,Value2,Value1,Value2,Value4,Value3,Value3,Value3,Value2,Value3,Value2,Value3,lost_cause,Value2,Value3,Value2,Value4,target,negative
4,Value3,Value1,Value1,Value2,Value3,Value4,Value4,Value1,Value4,Value3,Value3,Value2,Value3,Value2,Value1,persuadable,Value2,Value3,Value1,Value4,control,negative
5,Value4,Value1,Value1,Value3,Value2,Value1,Value2,Value4,Value3,Value4,Value3,Value3,Value2,Value3,Value2,sleeping_dog,Value1,Value3,Value2,Value4,control,positive
6,Value4,Value1,Value1,Value2,Value2,Value1,Value2,Value4,Value4,Value3,Value4,Value1,Value2,Value4,Value4,sleeping_dog,Value1,Value3,Value2,Value3,control,positive
7,Value1,Value1,Value1,Value2,Value1,Value2,Value2,Value4,Value1,Value1,Value3,Value1,Value3,Value3,Value1,sleeping_dog,Value4,Value4,Value1,Value2,control,positive
8,Value2,Value1,Value1,Value2,Value4,Value2,Value4,Value1,Value4,Value3,Value4,Value2,Value4,Value1,Value4,sure_thing,Value1,Value1,Value1,Value2,target,positive
9,Value4,Value1,Value4,Value2,Value2,Value1,Value4,Value4,Value3,Value4,Value3,Value2,Value3,Value1,Value3,sure_thing,Value3,Value1,Value3,Value3,target,positive
10,Value2,Value1,Value4,Value2,Value4,Value2,Value2,Value4,Value2,Value2,Value3,Value3,Value1,Value1,Value4,sure_thing,Value2,Value1,Value3,Value2,control,positive
11,Value2,Value2,Value4,Value2,Value1,Value2,Value4,Value3,Value3,Value3,Value3,Value4,Value4,Value4,Value1,sleeping_dog,Value4,Value4,Value2,Value4,target,negative
12,Value4,Value3,Value4,Value4,Value4,Value2,Value1,Value3,Value4,Value3,Value3,Value2,Value3,Value3,Value4,persuadable,Value4,Value4,Value1,Value4,target,positive
